Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
教法,jiao4fa3,ㄐㄧㄠˋㄈㄚˇ,Teach,teaching method; way of teaching
傳統,chuan2tong3,ㄔㄨㄢˊㄊㄨㄥˇ,Tradition,tradition; traditional
例如,li4ru2,ㄌㄧˋㄖㄨˊ,E.g,for example; for instance
吃喝玩樂,chi1he1wan2le4,ㄔˉㄏㄜˉㄨㄢˊㄌㄜˋ,"Eat, drink and play",eat drink and be merry; idle away one's time in pleasure seeking pursuits
回想,hui2xiang3,ㄏㄨㄟˊㄒㄧㄤˇ,recall,recall; recollect; think back
重新,chong2xin1,ㄔㄨㄥˊㄒㄧㄣˉ,again,again; anew; once more
招牌,zhao1pai5,ㄓㄠˉㄆㄞ˙,Shop sign,shop sign; specialty
游客,you2ke4,ㄧㄡˊㄎㄜˋ,Tourist,tourist; traveler
西餐,xi1can1,ㄒㄧˉㄘㄢˉ,Western food,Western-style food
從來,cong2lai2,ㄘㄨㄥˊㄌㄞˊ,Never,all along; from the past till the present; always; at all times; (when followed by 没有) never
青年,qing1nian2,ㄑㄧㄥˉㄋㄧㄢˊ,youth,young people; youth
嘗,chang2,ㄔㄤˊ,taste,to taste; try flavor of; (past tense marker)
嘗試,chang2shi4,ㄔㄤˊㄕˋ,try,to try; attempt
減輕,jian3qing1,ㄐㄧㄢˇㄑㄧㄥˉ,Reducing,lighten; to ease; alleviate
誠實,cheng2shi2,ㄔㄥˊㄕˊ,honest,honest; honorable
淚,lei4,ㄌㄟˋ,tears,tears
為主,wei2zhu3,ㄨㄟˊㄓㄨˇ,Dominate,give priority to; attach most importance to
知,zhi1,ㄓˉ,Know,know
舉,ju3,ㄐㄩˇ,Give up,lift; raise; cite; choose; entire
提供,ti2gong1,ㄊㄧˊㄍㄨㄥˉ,supply,to supply; provide; furnish
在意,zai4 yi4,ㄗㄞˋ ㄧˋ,care,care about; mind; care
問候,wen4hou4,ㄨㄣˋㄏㄡˋ,greeting,extend greetings; send regards to
發揮,fa1hui1,ㄈㄚˉㄏㄨㄟˉ,Exert,to display; to bring (skill talent etc.) into play; to develop (an idea)
蛇,she2,ㄕㄜˊ,snake,snake; serpent
成長,cheng2zhang3,ㄔㄥˊㄓㄤˇ,growing up,to mature; grow up; growth
空軍,kong1jun1,ㄎㄨㄥˉㄐㄩㄣˉ,air force,air force
北方,bei3fang1,ㄅㄟˇㄈㄤˉ,north,north; the northern part of the country
愛心,ai4xin1,ㄞˋㄒㄧㄣˉ,Love,compassion
交流,jiao1liu2,ㄐㄧㄠˉㄌㄧㄡˊ,comminicate,communicate; exchange; give and take; interaction; to alternate
意見,yi4jian4,ㄧˋㄐㄧㄢˋ,Opinion,opinion; view; suggestion; complaint
些,xie1,ㄒㄧㄝˉ,some,some; few; several; (mw for indefinite amount)
里,li3,ㄌㄧˇ,inside,Chinese mile (~.5 km); neighborhood (Kangxi radical 166)
糊塗,hu2tu5,ㄏㄨˊㄊㄨ˙,Confused,confused; bewildered; muddled
袋,dai4,ㄉㄞˋ,bag,sack; bag; pouch; pocket
嗨,hai1,ㄏㄞˉ,Hi,hey; hi (loanword); oh; alas
酒吧,jiu3ba1,ㄐㄧㄡˇㄅㄚˉ,bar,bar
改善,gai3shan4,ㄍㄞˇㄕㄢˋ,improve,improve; make better; ameliorate; to perfect
摘,zhai1,ㄓㄞˉ,Pick,pick (flowers fruit        etc.); pluck; take off; select; make extracts; point out (mistakes); borrow money
斤,jin1,ㄐㄧㄣˉ,catty,axe; catty (weight unit equal to 0.5 kilograms) (Kangxi radical 69)
零用錢,ling2yong4 qian2,ㄌㄧㄥˊㄩㄥˋ ㄑㄧㄢˊ,pocket money,pocket money; money for incidental expenses; allowance
堅強,jian1qiang2,ㄐㄧㄢˉㄑㄧㄤˊ,strong,strong (in character); staunch
發覺,fa1jue2,ㄈㄚˉㄐㄩㄝˊ,find,find; discover; detect
抱怨,bao4yuan4,ㄅㄠˋㄩㄢˋ,complain,complain; grumble; bear a grudge
往往,wang3wang3,ㄨㄤˇㄨㄤˇ,often,often; frequently; more often than not
規模,gui1mo2,ㄍㄨㄟˉㄇㄛˊ,scale,scale; scope; extent
總算,zong3suan4,ㄗㄨㄥˇㄙㄨㄢˋ,All,at long last; finally; on the whole
達成,da2 cheng2,ㄉㄚˊ ㄔㄥˊ,Reach,to reach (an agreement); achieve
殖民地,zhi2min2di4,ㄓˊㄇㄧㄣˊㄉㄧˋ,colony,colony
腦,nao3,ㄋㄠˇ,brain,brain
節,jie2,ㄐㄧㄝˊ,Festival,festival; a knot; a section; (mw for segments or class periods); moral integrity; to save
嗯,en1,ㄣˉ,Um,groaning sound (interjection expressing what? huh? hmm? why? ok
真正,zhen1zheng4,ㄓㄣˉㄓㄥˋ,real,genuine; real; true
應,ying1,ㄧㄥˉ,answer,agree; must; should; ought to respond; deal with; to answer
直,zhi2,ㄓˊ,straight,straight; vertical; frank; directly; continuously
南方,nan2fang1,ㄋㄢˊㄈㄤˉ,south,South; southern part of the country
頭痛,tou2tong4,ㄊㄡˊㄊㄨㄥˋ,Headache,(have a) headache
名詞,ming2ci2,ㄇㄧㄥˊㄘˊ,noun,noun; term; name
木頭,mu4tou5,ㄇㄨˋㄊㄡ˙,wood,wood; log; timber
理解,li3jie3,ㄌㄧˇㄐㄧㄝˇ,understand,comprehend; understand; comprehension
謙虛,qian1xu1,ㄑㄧㄢˉㄒㄩˉ,modesty,modest
生字,sheng1zi4,ㄕㄥˉㄗˋ,Biography,new character or word (unfamiliar to the student)
冷淡,leng3dan4,ㄌㄥˇㄉㄢˋ,cold,treat coldly; give sb. a cold shoulder; leave sb. (out) in the cold; to slight; cold; chill; indifferent; unconcerned
之后,zhi1hou4,ㄓˉㄏㄡˋ,after,after; later; following
舅舅,jiu4jiu5,ㄐㄧㄡˋㄐㄧㄡ˙,uncle,mother's brother; maternal uncle
白天,bai2tian1,ㄅㄞˊㄊㄧㄢˉ,daytime,daytime; during the day; day
車禍,che1huo4,ㄔㄜˉㄏㄨㄛˋ,Car accident,car accident
講價,jiang3jia4,ㄐㄧㄤˇㄐㄧㄚˋ,Bargain,haggle; to bargain
領域,ling3yu4,ㄌㄧㄥˇㄩˋ,field,domain; sphere; field; area
驕傲,jiao1'ao4,ㄐㄧㄠˉ'ㄠˋ,pride,proud; arrogant; conceited; take pride in
真是,zhen1 shi5,ㄓㄣˉ ㄕ˙,Really,it is truly; really; what a shame
終於,zhong1yu2,ㄓㄨㄥˉㄩˊ,finally,at last; in the end; finally
招待,zhao1dai4,ㄓㄠˉㄉㄞˋ,entertain,receive (guests); entertain; reception
旁,pang2,ㄆㄤˊ,beside,sides beside
恨不得,hen4 bu5 de5,ㄏㄣˋ ㄅㄨ˙ ㄉㄜ˙,Unable to,cannot bear not; dying to; can't wait until
平原,ping2yuan2,ㄆㄧㄥˊㄩㄢˊ,Plain,field; plain; flatlands
院子,yuan4zi5,ㄩㄢˋㄗ˙,courtyard,courtyard; yard
牌子,pai2zi5,ㄆㄞˊㄗ˙,brand,billboard; sign; brand; trademark; plate
日子,ri4zi5,ㄖˋㄗ˙,day,days; date; time; life; days of one's life
房客,fang2ke4,ㄈㄤˊㄎㄜˋ,tenant,tenant
大約,da4yue1,ㄉㄚˋㄩㄝˉ,About,approximately; about; probably
喜愛,xi3'ai4,ㄒㄧˇ'ㄞˋ,favorite,to like; to love; favorite
夜里,ye4li5,ㄧㄝˋㄌㄧ˙,at night,at night; nighttime
土地,tu3di4,ㄊㄨˇㄉㄧˋ,land,land; territory; soil
總而言之,zong3er2yan2zhi1,ㄗㄨㄥˇㄦˊㄧㄢˊㄓˉ,all in all,in short; in a word
古,gu3,ㄍㄨˇ,antiquity,ancient; old
越,yue4,ㄩㄝˋ,cross,even more; exceed; get over
無窮,wu2qiong2,ㄨˊㄑㄩㄥˊ,endless,endless; boundless; inexhaustible
架,jia4,ㄐㄧㄚˋ,shelf,frame; rack; to support; quarrel; (mw for machines planes etc.)
涼,liang2,ㄌㄧㄤˊ,cold,cool; cold make something cool/cold
求,qiu2,ㄑㄧㄡˊ,beg,beg request  beseech; ask (for) demand; seek  strive for; a surname
各位,ge4wei4,ㄍㄜˋㄨㄟˋ,Everyone,everybody (being addressed)
事業,shi4ye4,ㄕˋㄧㄝˋ,cause,undertaking; project; cause; enterprise; career; publicly funded institution
絕對,jue2dui4,ㄐㄩㄝˊㄉㄨㄟˋ,absolute,absolute; definite absolutely
正,zheng4,ㄓㄥˋ,just,just (right); straighten; rectify; correct; currently; at the moment; straight; pure; precisely first lunar month
翻譯,fan1yi4,ㄈㄢˉㄧˋ,translate,translator; interpreter; translate; interpret
難看,nan2kan4,ㄋㄢˊㄎㄢˋ,Ugly,ugly; unsightly
結果,jie2guo3,ㄐㄧㄝˊㄍㄨㄛˇ,result,result; outcome; finally to bear fruit
玫瑰,mei2gui5,ㄇㄟˊㄍㄨㄟ˙,Rose,rose flower
遇到,yu4dao4,ㄩˋㄉㄠˋ,meet,meet; run into; come across
串,chuan4,ㄔㄨㄢˋ,string,string together; conspire; gang up; mix up; (mw string; bunch; cluster); skewer
親手,qin1shou3,ㄑㄧㄣˉㄕㄡˇ,personally,personally; with one's own hands
座,zuo4,ㄗㄨㄛˋ,seat,(mw for mountains bridges  tall buildings etc.); seat; base; stand; constellation
獨特,du2te4,ㄉㄨˊㄊㄜˋ,unique,unique; distinctive
開花,kai1hua1,ㄎㄞˉㄏㄨㄚˉ,flowering,to flower; (figuratively) burst open; feel happy
石頭,shi2tou5,ㄕˊㄊㄡ˙,Stone,stone; rock
總統,zong3tong3,ㄗㄨㄥˇㄊㄨㄥˇ,president,president (of a country)
差別,cha1bie2,ㄔㄚˉㄅㄧㄝˊ,difference,difference; disparity
龍,long2,ㄌㄨㄥˊ,dragon,dragon (Kangxi radical 212)
封,feng1,ㄈㄥˉ,seal up,confer; to seal; bestow; (mw for letters)
就算,jiu4suan4,ㄐㄧㄡˋㄙㄨㄢˋ,Even,granted that ...; even if ...
情況,qing2kuang4,ㄑㄧㄥˊㄎㄨㄤˋ,Happening,circumstance; state of affairs; situation
餅,bing3,ㄅㄧㄥˇ,cake,round flat cake; biscuit; pastry
會場,hui4chang3,ㄏㄨㄟˋㄔㄤˇ,Venue,meeting place; conference hall
最初,zui4chu1,ㄗㄨㄟˋㄔㄨˉ,initial,first; primary; initial
認,ren4,ㄖㄣˋ,recognize,recognize; know; admit
有錢,you3qian2,ㄧㄡˇㄑㄧㄢˊ,rich,rich; wealthy
題材,ti2cai2,ㄊㄧˊㄘㄞˊ,theme,subject matter; theme
新生,xin1sheng1,ㄒㄧㄣˉㄕㄥˉ,newborn,newborn; new student
如下,ru2 xia4,ㄖㄨˊ ㄒㄧㄚˋ,as follows,as follows
擔任,dan1ren4,ㄉㄢˉㄖㄣˋ,Be,hold the post of; serve as
皮帶,pi2dai4,ㄆㄧˊㄉㄞˋ,belt,strap; leather belt
主動,zhu3dong4,ㄓㄨˇㄉㄨㄥˋ,initiative,take initiative; be proactive
中餐,zhong1can1,ㄓㄨㄥˉㄘㄢˉ,Chinese food,Chinese food
挫折,cuo4zhe2,ㄘㄨㄛˋㄓㄜˊ,frustration,frustration; setback; disappointment; to frustrate; encounter difficulties
場,chang3,ㄔㄤˇ,field,courtyard; place; field; (mw for games performances etc.) threshing floor
主任,zhu3ren4,ㄓㄨˇㄖㄣˋ,director,director; head; chief; person in charge
底下,di3xia5,ㄉㄧˇㄒㄧㄚ˙,under,below; under; bottom
敢,gan3,ㄍㄢˇ,dare,to dare
面前,mian4qian2,ㄇㄧㄢˋㄑㄧㄢˊ,before,in front of; facing
擁有,yong1you3,ㄩㄥˉㄧㄡˇ,have,have; possess; own
不足,bu4zu2,ㄅㄨˋㄗㄨˊ,insufficient,insufficient; not enough
當中,dang1zhong1,ㄉㄤˉㄓㄨㄥˉ,among,among; in the middle; in the center
等等,deng3deng5,ㄉㄥˇㄉㄥ˙,and many more,and so on; etc.; wait a minute!
來不及,lai2bu5ji2,ㄌㄞˊㄅㄨ˙ㄐㄧˊ,Wasonned,not enough time; too late
走走,zou3zou5,ㄗㄡˇㄗㄡ˙,Walk around,to take a stroll; to walk around; to come or go in a general sense
驚訝,jing1ya4,ㄐㄧㄥˉㄧㄚˋ,surprise,surprised; astonished; astounded
球,qiu2,ㄑㄧㄡˊ,ball,ball; globe
班機,ban1ji1,ㄅㄢˉㄐㄧˉ,Plane,airliner; regular air service; scheduled flight
抬,tai2,ㄊㄞˊ,lift,to lift; to raise; carry (together)
體重,ti3zhong4,ㄊㄧˇㄓㄨㄥˋ,weight,body weight
厲害,li4hai5,ㄌㄧˋㄏㄞ˙,sharp,terrible; formidable; fierce; cool; awesome
基督教,ji1du1jiao4,ㄐㄧˉㄉㄨˉㄐㄧㄠˋ,Christianity,Christianity
正確,zheng4que4,ㄓㄥˋㄑㄩㄝˋ,correct,correct; proper
助,zhu4,ㄓㄨˋ,help,to help; assist
嚴重,yan2zhong4,ㄧㄢˊㄓㄨㄥˋ,serious,grave; serious; critical
輕松,qing1song1,ㄑㄧㄥˉㄙㄨㄥˉ,easy,relaxed; gentle; easygoing
答應,da1ying5,ㄉㄚˉㄧㄥ˙,promise,to respond; to promise; to answer; agree
广場,guang3chang3,ㄍㄨㄤˇㄔㄤˇ,square,public square; plaza
而,er2,ㄦˊ,and,and; but; yet; while (Kangxi radical 126)
將來,jiang1lai2,ㄐㄧㄤˉㄌㄞˊ,future,the future
剩,sheng4,ㄕㄥˋ,Leftover,remainder; left over; surplus
忍耐,ren3nai4,ㄖㄣˇㄋㄞˋ,endure,show restraint; endure; exercise patience
真心,zhen1xin1,ㄓㄣˉㄒㄧㄣˉ,sincere,sincere; heartfelt
教訓,jiao4xun4,ㄐㄧㄠˋㄒㄩㄣˋ,lesson,a bitter lesson; a moral; provide guidance
海報,hai3bao4,ㄏㄞˇㄅㄠˋ,poster,poster; playbill
流血,liu2xue4,ㄌㄧㄡˊㄒㄩㄝˋ,bleed,bleed; shed blood
部門,bu4men2,ㄅㄨˋㄇㄣˊ,department,department; branch; section
舉手,ju3shou3,ㄐㄩˇㄕㄡˇ,Hold your hand,raise one's hand(s)
行動,xing2dong4,ㄒㄧㄥˊㄉㄨㄥˋ,action,to move; get around; action
珍貴,zhen1gui4,ㄓㄣˉㄍㄨㄟˋ,precious,precious; valuable
幸虧,xing4kui1,ㄒㄧㄥˋㄎㄨㄟˉ,Fortunately,fortunately; luckily
個人,ge4ren2,ㄍㄜˋㄖㄣˊ,personal,individual; personal; oneself
僅,jin3,ㄐㄧㄣˇ,only,only; barely; merely
使用,shi3yong4,ㄕˇㄩㄥˋ,use,use; employ; apply; administer; manipulate
當面,dang1mian4,ㄉㄤˉㄇㄧㄢˋ,In person,to sb.'s face; in sb.'s presence
女士,nv3shi4,nvˇㄕˋ,Miss,lady; madam
蓋,gai4,ㄍㄞˋ,cover,lid; top; cover; to build
吵架,chao3jia4,ㄔㄠˇㄐㄧㄚˋ,quarrel,to quarrel; to squabble; bicker
郵票,you2piao4,ㄧㄡˊㄆㄧㄠˋ,stamp,postage stamp
眼淚,yan3lei4,ㄧㄢˇㄌㄟˋ,Tears,tear; crying
教材,jiao4cai2,ㄐㄧㄠˋㄘㄞˊ,Textbook,teaching materials
玩具,wan2ju4,ㄨㄢˊㄐㄩˋ,Toy,plaything; toy
信心,xin4xin1,ㄒㄧㄣˋㄒㄧㄣˉ,confidence,confidence; faith (in sb. or sth.)
聊,liao2,ㄌㄧㄠˊ,chat,to chat; merely; a little
老虎,lao3hu3,ㄌㄠˇㄏㄨˇ,tiger,tiger
體會,ti3hui4,ㄊㄧˇㄏㄨㄟˋ,Experience,know from experience; realize; understanding; experience
不滿,bu4man3,ㄅㄨˋㄇㄢˇ,dissatisfied,resentful; dissatisfied; not full
吸引,xi1yin3,ㄒㄧˉㄧㄣˇ,absorb,attract; fascinate; appeal to
以免,yi3mian3,ㄧˇㄇㄧㄢˇ,so as not to,so as not to; in order to avoid; lest
之前,zhi1 qian2,ㄓˉ ㄑㄧㄢˊ,Before,before; prior to; ago
否則,fou3ze2,ㄈㄡˇㄗㄜˊ,otherwise,if not; otherwise; or else
盒,he2,ㄏㄜˊ,box,small box; case; (mw for a box of)
樹木,shu4mu4,ㄕㄨˋㄇㄨˋ,Trees,trees
難怪,nan2guai4,ㄋㄢˊㄍㄨㄞˋ,No wonder,no wonder
請求,qing3qiu2,ㄑㄧㄥˇㄑㄧㄡˊ,ask,to request; ask
呀,ya5,ㄧㄚ˙,ah,ah; oh
地形,di4xing2,ㄉㄧˋㄒㄧㄥˊ,terrain,terrain; topography; landscape; landform
樂觀,le4guan1,ㄌㄜˋㄍㄨㄢˉ,optimism,optimism; optimistic; hopeful
材料,cai2liao4,ㄘㄞˊㄌㄧㄠˋ,Material,material; data; ingredients
窮,qiong2,ㄑㄩㄥˊ,poverty,poor; exhausted
追求,zhui1qiu2,ㄓㄨㄟˉㄑㄧㄡˊ,Pursue,pursue; seek; woo
舅媽,jiu4ma1,ㄐㄧㄡˋㄇㄚˉ,Aunt,aunt; mother's brother's wife
失戀,shi1lian4,ㄕˉㄌㄧㄢˋ,Fall in love,be disappointed in a love affair; be jilted; break up
理論,li3lun4,ㄌㄧˇㄌㄨㄣˋ,theory,theory
混亂,hun4luan4,ㄏㄨㄣˋㄌㄨㄢˋ,confusion,confusion; disorder; chaotic
解決,jie3jue2,ㄐㄧㄝˇㄐㄩㄝˊ,solve,settle (a dispute); resolve; solve; dispose of; finish off
仔細,zi3xi4,ㄗˇㄒㄧˋ,carefulness,careful; attentive; cautious
能夠,neng2gou4,ㄋㄥˊㄍㄡˋ,were able,capable of; able to
口袋,kou3dai5,ㄎㄡˇㄉㄞ˙,pocket,pocket; bag; sack
古典,gu3dian3,ㄍㄨˇㄉㄧㄢˇ,classical,classical
反,fan3,ㄈㄢˇ,opposite,contrary; anti; opposite; rebellious; reverse
加速,jia1su4,ㄐㄧㄚˉㄙㄨˋ,accelerate,to quicken; to speed up; to accelerate; to expedite; to hasten
排斥,pai2chi4,ㄆㄞˊㄔˋ,Exclude,to reject; repulse; exclude
易,yi4,ㄧˋ,easy,to exchange; easy; amiable
干杯,gan1bei1,ㄍㄢˉㄅㄟˉ,cheers,drink a toast; cheers!; bottoms up!
批判,pi1pan4,ㄆㄧˉㄆㄢˋ,criticism,criticize; critique
神聖,shen2sheng4,ㄕㄣˊㄕㄥˋ,sacred,divine; holy; sacred
丟人,diu1 ren2,ㄉㄧㄡˉ ㄖㄣˊ,Shame,to lose face; to be disgraced; shameful; disgraceful
既然,ji4ran2,ㄐㄧˋㄖㄢˊ,now that,since; given that; now that
救火,jiu4huo3,ㄐㄧㄡˋㄏㄨㄛˇ,Fire,to fight a fire
躲,duo3,ㄉㄨㄛˇ,hide,to hide; to dodge; avoid
耐用,nai4yong4,ㄋㄞˋㄩㄥˋ,durable,durable
疾病,ji2bing4,ㄐㄧˊㄅㄧㄥˋ,disease,disease; illness; sickness; ailment
心聲,xin1sheng1,ㄒㄧㄣˉㄕㄥˉ,Voices,heartfelt wishes; aspirations
處處,chu4chu4,ㄔㄨˋㄔㄨˋ,Everywhere,everywhere; in all respects
詩,shi1,ㄕˉ,poetry,poem; poetry; verse
泥,ni2,ㄋㄧˊ,mud,mud; paste; pulp to cover; daub with plaster
奮斗,fen4dou4,ㄈㄣˋㄉㄡˋ,struggle,strive; struggle; fight for
猶豫,you2yu4,ㄧㄡˊㄩˋ,hesitate,hesitate; hesitant; undecided
科目,ke1mu4,ㄎㄜˉㄇㄨˋ,suject,(school) subject
捐款,juan1kuan3,ㄐㄩㄢˉㄎㄨㄢˇ,Donation,donate money; contribute funds
長途,chang2tu2,ㄔㄤˊㄊㄨˊ,long haul,long-distance
氧气,yang3qi4,ㄧㄤˇㄑㄧˋ,oxygen,oxygen
腦袋,nao3dai5,ㄋㄠˇㄉㄞ˙,Head,head; skull; brains; mental capability
恐怖,kong3bu4,ㄎㄨㄥˇㄅㄨˋ,fear,afraid; terror
撞,zhuang4,ㄓㄨㄤˋ,Collide,to hit; collide; run into
國小,guo2xiao3,ㄍㄨㄛˊㄒㄧㄠˇ,Elementary school,state-run elementary school
因素,yin1su4,ㄧㄣˉㄙㄨˋ,factor,element; factor
勞力,lao2li4,ㄌㄠˊㄌㄧˋ,Labor,labor; work force
儀器,yi2qi4,ㄧˊㄑㄧˋ,instrument,apparatus; (scientific) instrument
泡,pao4,ㄆㄠˋ,Bubble,bubble; blister; to steep; to make (drinks); to soak; dawdle puffed; swollen; spongy; (MW for urine or feces)
神奇,shen2qi2,ㄕㄣˊㄑㄧˊ,magic,miraculous; magical; mystical
傷,shang1,ㄕㄤˉ,hurt,injure; wound; injury
開拓,kai1tuo4,ㄎㄞˉㄊㄨㄛˋ,open up,open up; expand; develop (land)
提醒,ti2xing3,ㄊㄧˊㄒㄧㄥˇ,remind,remind; call attention to; warn of
桃子,tao2zi5,ㄊㄠˊㄗ˙,peach,peach
四處,si4chu4,ㄙˋㄔㄨˋ,around,all around; all over the place; everywhere and all directions
梨子,li2zi5,ㄌㄧˊㄗ˙,pear,pear
用不著,yong4bu5zhao2,ㄩㄥˋㄅㄨ˙ㄓㄠˊ,Not use,unnecessary; have no use for (simplified should be ～着)
適當,shi4dang4,ㄕˋㄉㄤˋ,appropriate,suitable; appropriate; proper
合理,he2li3,ㄏㄜˊㄌㄧˇ,Reasonable,rational; reasonable; equitable
敬禮,jing4li3,ㄐㄧㄥˋㄌㄧˇ,salute,to salute; best regards
牢,lao2,ㄌㄠˊ,prison,pen; firm; durable; secure
變成,bian4 cheng2,ㄅㄧㄢˋ ㄔㄥˊ,become,change into; become
玉,yu4,ㄩˋ,Jade,jade (Kangxi radical 96)
尊敬,zun1jing4,ㄗㄨㄣˉㄐㄧㄥˋ,Respect,to respect; to honor; to hold in high esteem; honored; honorable; distinguished
事實,shi4shi2,ㄕˋㄕˊ,fact,fact
安心,an1xin1,ㄢˉㄒㄧㄣˉ,Relieved,at ease; relieved
腐敗,fu3bai4,ㄈㄨˇㄅㄞˋ,corruption,corruption; to corrupt; rotten
秒,miao3,ㄇㄧㄠˇ,second,second (unit of time or angle)
說起來,shuo1qi5lai5,ㄕㄨㄛˉㄑㄧ˙ㄌㄞ˙,Show up,start to talk about; mention; actually; as a matter of fact
減,jian3,ㄐㄧㄢˇ,reduce,subtract; decrease; reduce; cut
忘記,wang4ji4,ㄨㄤˋㄐㄧˋ,forget,forget
卡車,ka3che1,ㄎㄚˇㄔㄜˉ,truck,truck
慢跑,man4pao3,ㄇㄢˋㄆㄠˇ,jogging,to jog
特殊,te4shu1,ㄊㄜˋㄕㄨˉ,special,special; particular; extraordinary; exceptional; unusual; peculiar
好好,hao3hao3,ㄏㄠˇㄏㄠˇ,well,all out; earnestly; to one's heart's content; nicely; properly （tone also pr. 3-1)
好好兒,hao3hao1r5,ㄏㄠˇㄏㄠˉr˙,Good,in a proper way; to one's heart's content; well
航空,hang2kong1,ㄏㄤˊㄎㄨㄥˉ,aviation,aviation
古代,gu3dai4,ㄍㄨˇㄉㄞˋ,Ancient,ancient times
篇,pian1,ㄆㄧㄢˉ,Articles,sheet; (mw for articles); piece of writing
實際,shi2ji4,ㄕˊㄐㄧˋ,actual,actual; reality; practice
調查,diao4cha2,ㄉㄧㄠˋㄔㄚˊ,investigation,investigation; inquiry; to investigate; to survey; survey
民族,min2zu2,ㄇㄧㄣˊㄗㄨˊ,nationality,nationality; ethnic group
東方,dong1fang1,ㄉㄨㄥˉㄈㄤˉ,East,the East; Eastern countries
真的,zhen1de5,ㄓㄣˉㄉㄜ˙,real,really; real; truly; true
拿手,na2shou3,ㄋㄚˊㄕㄡˇ,good,good at; adept
省,sheng3,ㄕㄥˇ,Province,to save; economize; omit; province examine oneself; to visit; be aware
發脾气,fa1 pi2qi5,ㄈㄚˉ ㄆㄧˊㄑㄧ˙,loose the temper,get angry; lose one's temper
對象,dui4xiang4,ㄉㄨㄟˋㄒㄧㄤˋ,Object,target; object; partner; boyfriend or girlfriend
可惡,ke3wu4,ㄎㄜˇㄨˋ,hateful,hateful; abominable; repulsive
棵,ke1,ㄎㄜˉ,Tree,(mw for plants)
噢,o1,oˉ,Oh,Oh! (indicates understanding or surprise see also 喔). Tw. Òu.
屋子,wu1zi5,ㄨˉㄗ˙,room,room; house
東南,dong1nan2,ㄉㄨㄥˉㄋㄢˊ,southeast,southeast
帶來,dai4lai2,ㄉㄞˋㄌㄞˊ,bring,bring; bring about
結局,jie2ju2,ㄐㄧㄝˊㄐㄩˊ,ending,conclusion; ending
心理,xin1li3,ㄒㄧㄣˉㄌㄧˇ,psychology,mental; psychological
感想,gan3xiang3,ㄍㄢˇㄒㄧㄤˇ,Feel,impressions; reflections; thoughts
適應,shi4ying4,ㄕˋㄧㄥˋ,adapt,to suit; to fit; adapt; get used to
開朗,kai1lang3,ㄎㄞˉㄌㄤˇ,Cheerful,open; cheerful; optimistic
尤其,you2qi2,ㄧㄡˊㄑㄧˊ,especially,especially; particularly
不得已,bu4de2yi3,ㄅㄨˋㄉㄜˊㄧˇ,As a last resort,act against one's will; have no alternative
冊,ce4,ㄘㄜˋ,book,book; booklet; (mw for books)
收入,shou1ru4,ㄕㄡˉㄖㄨˋ,income,take in; income; revenue
如同,ru2tong2,ㄖㄨˊㄊㄨㄥˊ,as,like; similar to
鋼,gang1,ㄍㄤˉ,steel,steel
開設,kai1she4,ㄎㄞˉㄕㄜˋ,open,to offer (goods or services); to open (for business)
蝴蝶,hu2die2,ㄏㄨˊㄉㄧㄝˊ,Butterfly,butterfly
差錯,cha1cuo4,ㄔㄚˉㄘㄨㄛˋ,error,error (in data transmission); mistake; an accident
然而,ran2'er2,ㄖㄢˊ'ㄦˊ,However,however; yet; but
揀,jian3,ㄐㄧㄢˇ,Pick,choose; select; sort out
反問,fan3wen4,ㄈㄢˇㄨㄣˋ,Ask,ask a rhetorical question; answer a question with a question
善於,shan4yu2,ㄕㄢˋㄩˊ,Be good at,be good at; excel at
開戶,kai1hu4,ㄎㄞˉㄏㄨˋ,Open an account,open a (bank) account
再說,zai4shuo1,ㄗㄞˋㄕㄨㄛˉ,More,furthermore; besides; repeat; say again
規則,gui1ze2,ㄍㄨㄟˉㄗㄜˊ,rule,rule; law; regulation
口試,kou3shi4,ㄎㄡˇㄕˋ,oral,oral exam; oral test
職位,zhi2wei4,ㄓˊㄨㄟˋ,Position,(professional) position
制作,zhi4zuo4,ㄓˋㄗㄨㄛˋ,Make,make; manufacture
疑問,yi2wen4,ㄧˊㄨㄣˋ,doubt,doubt; question; query
嚴,yan2,ㄧㄢˊ,strict,strict; severe; serious; (air- or water-) tight
犯法,fan4fa3,ㄈㄢˋㄈㄚˇ,Criminal,break the law; violate the law; against the law; illegal
發言,fa1yan2,ㄈㄚˉㄧㄢˊ,Speak,make a speech; statement
遭到,zao1dao4,ㄗㄠˉㄉㄠˋ,Suffer,suffer; encounter; meet with (something unfortunate)
動不動,dong4bu5dong4,ㄉㄨㄥˋㄅㄨ˙ㄉㄨㄥˋ,at every turn,easily; frequently; at every turn
后頭,hou4tou5,ㄏㄡˋㄊㄡ˙,Back,at the back; rear; the rear side; later
程序,cheng2xu4,ㄔㄥˊㄒㄩˋ,program,procedure; sequence; computer program
哎喲,ai1yo1,ㄞˉyoˉ,Ouch,hey; ow; ouch
手工,shou3gong1,ㄕㄡˇㄍㄨㄥˉ,manual,hand-made; handicraft; manual
預先,yu4xian1,ㄩˋㄒㄧㄢˉ,advance,beforehand; prior
過程,guo4cheng2,ㄍㄨㄛˋㄔㄥˊ,process,course of events; process
拳頭,quan2tou5,ㄑㄩㄢˊㄊㄡ˙,fist,fist
